@relation loan_default_reduced_sampled_training-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1

@attribute loan_limit {cf,ncf}
@attribute loan_type {type1,type2,type3}
@attribute business_or_commercial {nob/c,b/c}
@attribute Neg_ammortization {not_neg,neg_amm}
@attribute lump_sum_payment {not_lpsm,lpsm}
@attribute income numeric
@attribute co-applicant_credit_type {EXP,CIB}
@attribute submission_of_application {to_inst,not_inst}
@attribute LTV numeric
@attribute dtir1 numeric
@attribute Status {no,yes}

@data
cf,type1,nob/c,not_neg,not_lpsm,9300,CIB,not_inst,86.504425,45,no
cf,type1,nob/c,not_neg,not_lpsm,8640,CIB,not_inst,74.100257,43,no
cf,type2,b/c,not_neg,not_lpsm,6960,CIB,to_inst,96.266234,49,no
cf,type1,nob/c,not_neg,not_lpsm,4200,EXP,not_inst,71.226415,31,no
ncf,type1,nob/c,not_neg,not_lpsm,13080,EXP,to_inst,95.091324,36,no
cf,type1,nob/c,not_neg,not_lpsm,1860,EXP,to_inst,31.971154,30,no
cf,type1,nob/c,not_neg,not_lpsm,13920,CIB,to_inst,79.618474,28,no
cf,type1,nob/c,not_neg,not_lpsm,3180,CIB,to_inst,75.152439,44,no
cf,type2,b/c,not_neg,not_lpsm,4080,CIB,to_inst,86.073825,61,no
cf,type1,nob/c,neg_amm,not_lpsm,13260,CIB,not_inst,79.20082,37,no
cf,type1,nob/c,not_neg,not_lpsm,7920,EXP,to_inst,58.831522,30,no
cf,type1,nob/c,not_neg,not_lpsm,5460,EXP,to_inst,55.530973,45,no
cf,type1,nob/c,not_neg,not_lpsm,2580,EXP,to_inst,31.867284,46,no
cf,type1,nob/c,not_neg,not_lpsm,7200,EXP,to_inst,75.152439,44,no
cf,type1,nob/c,not_neg,not_lpsm,4800,CIB,to_inst,77.925532,23,no
cf,type1,nob/c,not_neg,not_lpsm,2760,EXP,not_inst,80.032468,49,no
cf,type1,nob/c,not_neg,not_lpsm,4500,EXP,to_inst,67.857143,49,no
cf,type1,nob/c,not_neg,not_lpsm,9360,EXP,not_inst,83.576052,48,no
cf,type1,nob/c,not_neg,not_lpsm,5580,CIB,not_inst,91.440217,37,no
cf,type1,nob/c,not_neg,not_lpsm,11100,EXP,to_inst,78.439153,37,no
cf,type1,nob/c,not_neg,not_lpsm,6480,EXP,to_inst,58.395522,47,no
cf,type1,nob/c,not_neg,not_lpsm,4320,CIB,not_inst,82.118056,34,no
ncf,type1,nob/c,not_neg,not_lpsm,7200,CIB,to_inst,82.118056,36,no
cf,type2,b/c,not_neg,not_lpsm,7200,EXP,to_inst,81.47482,41,no
cf,type1,nob/c,neg_amm,not_lpsm,4800,CIB,not_inst,95.405983,49,no
cf,type1,nob/c,not_neg,not_lpsm,33720,EXP,to_inst,20.203488,21,no
cf,type3,nob/c,not_neg,not_lpsm,1800,CIB,to_inst,106.15942,40,no
?,type1,nob/c,not_neg,not_lpsm,5280,CIB,to_inst,94.471154,40,no
cf,type1,nob/c,not_neg,not_lpsm,17760,EXP,to_inst,75.111607,39,no
cf,type1,nob/c,not_neg,not_lpsm,9780,CIB,to_inst,58.376289,24,no
cf,type1,nob/c,?,not_lpsm,2880,EXP,not_inst,78.645833,35,no
cf,type2,b/c,not_neg,not_lpsm,1920,EXP,to_inst,85.550459,51,no
cf,type1,nob/c,not_neg,not_lpsm,3180,EXP,to_inst,84.514925,42,no
cf,type1,nob/c,not_neg,not_lpsm,11760,CIB,not_inst,56.405279,36,no
cf,type1,nob/c,not_neg,not_lpsm,7020,EXP,to_inst,89.021164,32,no
cf,type1,nob/c,not_neg,not_lpsm,6960,EXP,not_inst,74.326347,36,no
cf,type1,nob/c,not_neg,not_lpsm,3660,CIB,not_inst,22.280335,34,no
cf,type1,nob/c,not_neg,not_lpsm,7560,CIB,not_inst,93.994413,32,no
cf,type2,b/c,not_neg,not_lpsm,6840,EXP,not_inst,97.90146,56,no
ncf,type1,nob/c,not_neg,not_lpsm,12660,EXP,to_inst,78.817365,40,no
cf,type1,nob/c,not_neg,not_lpsm,2580,EXP,to_inst,60.551948,47,no
cf,type1,nob/c,not_neg,not_lpsm,5100,CIB,not_inst,94.144981,48,no
cf,type1,nob/c,neg_amm,not_lpsm,12960,EXP,to_inst,57.53012,14,no
cf,type1,nob/c,not_neg,not_lpsm,3360,CIB,not_inst,79.575893,48,no
cf,type1,nob/c,neg_amm,not_lpsm,3900,CIB,not_inst,93.445122,37,no
cf,type3,nob/c,not_neg,not_lpsm,2280,CIB,to_inst,72.260274,59,no
cf,type1,nob/c,not_neg,not_lpsm,19500,EXP,not_inst,54.706325,27,no
cf,type1,nob/c,not_neg,not_lpsm,3060,CIB,to_inst,75.297619,22,no
cf,type3,nob/c,not_neg,lpsm,1620,CIB,to_inst,87.298387,60,no
cf,type1,nob/c,not_neg,not_lpsm,8700,EXP,to_inst,61.738579,38,no
cf,type1,nob/c,neg_amm,not_lpsm,3300,CIB,to_inst,67.045455,36,no
cf,type1,nob/c,neg_amm,not_lpsm,4560,CIB,to_inst,80.063291,34,no
cf,type1,nob/c,not_neg,not_lpsm,8460,CIB,not_inst,57.390746,27,no
cf,type1,nob/c,not_neg,not_lpsm,3720,CIB,to_inst,21.114519,31,no
cf,type1,nob/c,not_neg,not_lpsm,8400,CIB,not_inst,81.25,22,no
cf,type1,nob/c,not_neg,not_lpsm,5400,CIB,to_inst,92.96875,43,no
cf,type1,nob/c,not_neg,not_lpsm,2160,EXP,to_inst,82.563025,46,no
cf,type1,nob/c,not_neg,not_lpsm,8760,EXP,not_inst,67.045455,22,no
cf,type1,nob/c,not_neg,not_lpsm,10260,EXP,to_inst,95.682731,40,no
cf,type1,nob/c,not_neg,not_lpsm,13020,CIB,to_inst,80.021834,37,no
cf,type1,nob/c,neg_amm,not_lpsm,3000,EXP,to_inst,68.229167,43,no
?,type1,nob/c,not_neg,not_lpsm,10260,CIB,to_inst,88.995727,21,no
cf,type1,nob/c,not_neg,not_lpsm,7860,EXP,to_inst,65.756303,43,no
ncf,type1,nob/c,not_neg,not_lpsm,7260,EXP,to_inst,67.137097,37,no
cf,type1,nob/c,not_neg,not_lpsm,4620,EXP,to_inst,43.475275,39,no
cf,type3,nob/c,not_neg,not_lpsm,6120,CIB,not_inst,88.246269,34,no
cf,type1,nob/c,not_neg,not_lpsm,8340,EXP,to_inst,75.793651,32,no
cf,type1,nob/c,not_neg,not_lpsm,7680,EXP,not_inst,67.113095,40,no
cf,type1,nob/c,not_neg,not_lpsm,3000,CIB,to_inst,77.412281,10,no
cf,type1,nob/c,not_neg,not_lpsm,6300,CIB,not_inst,83.730159,48,no
cf,type1,nob/c,not_neg,not_lpsm,5940,EXP,not_inst,68.503289,42,no
cf,type1,nob/c,not_neg,not_lpsm,9120,EXP,not_inst,57.218845,37,no
cf,type1,nob/c,not_neg,not_lpsm,6360,CIB,not_inst,81.957929,41,no
cf,type1,nob/c,not_neg,not_lpsm,8280,CIB,to_inst,59.808013,47,no
cf,type1,nob/c,not_neg,not_lpsm,7020,EXP,not_inst,75.793651,30,no
cf,type1,nob/c,not_neg,not_lpsm,1200,CIB,to_inst,64.204545,48,no
cf,type1,nob/c,not_neg,not_lpsm,9180,EXP,to_inst,90.60219,42,no
cf,type1,nob/c,not_neg,not_lpsm,6000,CIB,not_inst,33.685662,42,no
cf,type1,nob/c,not_neg,not_lpsm,3540,CIB,to_inst,61.075949,24,no
cf,type1,nob/c,not_neg,not_lpsm,9720,EXP,not_inst,23.317095,21,no
cf,type1,nob/c,not_neg,not_lpsm,2340,CIB,to_inst,75.887574,49,no
cf,type1,nob/c,not_neg,not_lpsm,5400,EXP,not_inst,50.317259,34,no
cf,type3,nob/c,not_neg,not_lpsm,3720,CIB,not_inst,63.888889,54,no
?,type1,nob/c,not_neg,not_lpsm,6120,CIB,to_inst,93.545082,38,no
ncf,type1,nob/c,not_neg,not_lpsm,5280,CIB,not_inst,74.68652,42,no
cf,type1,nob/c,not_neg,not_lpsm,5820,EXP,to_inst,62.566138,37,no
cf,type1,nob/c,neg_amm,not_lpsm,8400,CIB,to_inst,59.283247,44,no
cf,type1,nob/c,neg_amm,not_lpsm,7560,EXP,to_inst,72.651007,35,no
cf,type1,nob/c,not_neg,not_lpsm,8700,CIB,to_inst,47.977346,33,no
cf,type1,nob/c,not_neg,not_lpsm,11160,EXP,not_inst,83.83758,32,no
cf,type1,nob/c,not_neg,not_lpsm,4380,EXP,not_inst,90.396341,39,no
ncf,type1,nob/c,not_neg,not_lpsm,4800,EXP,to_inst,69.104803,33,no
cf,type1,nob/c,not_neg,not_lpsm,14940,EXP,not_inst,80.902004,31,no
cf,type1,nob/c,not_neg,not_lpsm,9780,EXP,not_inst,74.038462,40,no
ncf,type1,nob/c,not_neg,not_lpsm,16200,EXP,not_inst,80.292479,37,no
cf,type1,nob/c,not_neg,not_lpsm,9960,EXP,to_inst,54.865269,15,no
?,type1,nob/c,not_neg,not_lpsm,8100,CIB,not_inst,77.416357,42,no
cf,type1,nob/c,neg_amm,not_lpsm,12240,EXP,not_inst,69.984326,20,no
cf,type1,nob/c,not_neg,not_lpsm,6240,CIB,not_inst,67.30226,45,no
cf,type1,nob/c,not_neg,not_lpsm,15720,EXP,not_inst,74.525316,20,no
cf,type1,nob/c,not_neg,not_lpsm,5700,CIB,not_inst,79.20082,47,no
cf,type1,nob/c,not_neg,not_lpsm,9060,EXP,to_inst,42.22488,22,no
cf,type1,nob/c,not_neg,not_lpsm,2280,CIB,to_inst,26.955307,21,no
cf,type1,nob/c,not_neg,not_lpsm,2700,CIB,not_inst,56.004367,49,no
cf,type1,nob/c,not_neg,not_lpsm,4860,CIB,to_inst,35.608553,42,no
cf,type1,nob/c,not_neg,not_lpsm,3060,CIB,to_inst,79.040404,26,no
cf,type1,nob/c,not_neg,not_lpsm,4560,CIB,to_inst,63.569079,44,no
cf,type1,nob/c,not_neg,not_lpsm,4020,CIB,not_inst,67.394822,47,no
cf,type2,b/c,not_neg,not_lpsm,3180,CIB,not_inst,96.597633,54,no
cf,type1,nob/c,not_neg,not_lpsm,10200,CIB,not_inst,48.211447,41,no
cf,type1,nob/c,not_neg,not_lpsm,7680,CIB,not_inst,69.258721,31,no
cf,type2,b/c,not_neg,not_lpsm,1980,CIB,to_inst,72.286822,59,no
cf,type1,nob/c,not_neg,not_lpsm,5040,CIB,not_inst,73.840206,27,no
cf,type1,nob/c,not_neg,not_lpsm,2520,EXP,to_inst,69.957983,40,no
cf,type3,nob/c,not_neg,not_lpsm,1920,CIB,to_inst,55.434783,24,no
cf,type1,nob/c,not_neg,not_lpsm,8340,EXP,not_inst,59.084302,21,no
cf,type1,nob/c,not_neg,not_lpsm,11040,EXP,not_inst,43.649733,31,no
cf,type3,nob/c,not_neg,not_lpsm,3420,EXP,to_inst,99.157303,54,no
?,type3,nob/c,not_neg,not_lpsm,3120,CIB,to_inst,91.666667,56,no
cf,type1,nob/c,not_neg,not_lpsm,16500,EXP,to_inst,72.418478,31,no
cf,type1,nob/c,neg_amm,not_lpsm,7500,EXP,to_inst,73.325359,44,no
cf,type1,nob/c,not_neg,not_lpsm,6480,CIB,not_inst,55.837912,48,no
cf,type1,nob/c,not_neg,not_lpsm,5640,CIB,to_inst,50.811688,49,no
cf,type1,nob/c,not_neg,not_lpsm,4440,CIB,not_inst,78.882576,44,no
cf,type1,nob/c,not_neg,not_lpsm,6420,CIB,to_inst,39.779874,12,no
cf,type1,nob/c,not_neg,not_lpsm,3480,CIB,to_inst,47.961957,46,no
cf,type3,nob/c,not_neg,not_lpsm,3840,EXP,to_inst,112.5,30,no
cf,type1,nob/c,not_neg,not_lpsm,4440,CIB,to_inst,72.993311,49,no
cf,type1,nob/c,not_neg,not_lpsm,3900,CIB,to_inst,69.104803,40,no
cf,type2,b/c,not_neg,not_lpsm,8280,EXP,to_inst,83.914729,55,no
cf,type1,nob/c,not_neg,not_lpsm,2880,CIB,to_inst,89.351852,37,no
cf,type1,nob/c,not_neg,not_lpsm,14400,CIB,not_inst,88.804945,30,no
cf,type1,nob/c,not_neg,not_lpsm,4680,EXP,to_inst,41.27907,37,no
cf,type1,nob/c,not_neg,not_lpsm,13740,EXP,to_inst,94.642857,27,no
cf,type1,nob/c,not_neg,not_lpsm,2160,CIB,to_inst,54.746835,41,no
cf,type1,nob/c,not_neg,not_lpsm,4620,CIB,not_inst,70.177165,46,no
cf,type1,nob/c,not_neg,not_lpsm,12600,CIB,to_inst,53.132118,5,no
cf,type1,nob/c,not_neg,not_lpsm,4800,EXP,to_inst,85.071942,29,no
cf,type1,nob/c,not_neg,not_lpsm,13500,EXP,to_inst,69.012945,36,no
cf,type1,nob/c,not_neg,not_lpsm,9000,EXP,to_inst,54.056047,39,no
cf,type1,nob/c,not_neg,not_lpsm,7620,EXP,to_inst,68.045775,36,no
cf,type1,nob/c,not_neg,not_lpsm,3840,CIB,to_inst,80.027933,49,no
cf,type1,nob/c,not_neg,not_lpsm,3420,CIB,to_inst,42.886179,48,no
?,type1,nob/c,not_neg,not_lpsm,7020,EXP,to_inst,76.58046,31,no
cf,type1,nob/c,not_neg,not_lpsm,5460,CIB,to_inst,75.122549,42,no
cf,type1,nob/c,not_neg,not_lpsm,6420,EXP,to_inst,78.110048,33,no
cf,type1,nob/c,not_neg,not_lpsm,4380,CIB,to_inst,59.228188,28,no
cf,type1,nob/c,not_neg,not_lpsm,3540,EXP,not_inst,32.18599,49,no
cf,type1,nob/c,not_neg,not_lpsm,4320,CIB,to_inst,71.586345,43,no
cf,type2,b/c,not_neg,not_lpsm,2100,EXP,to_inst,72.606383,41,no
cf,type1,nob/c,not_neg,not_lpsm,12000,EXP,not_inst,59.474328,31,no
cf,type3,nob/c,not_neg,not_lpsm,6660,CIB,to_inst,99.278846,26,no
cf,type1,nob/c,not_neg,lpsm,8220,CIB,not_inst,23.078748,37,no
cf,type1,nob/c,not_neg,not_lpsm,3120,EXP,to_inst,69.472362,48,no
cf,type1,nob/c,not_neg,not_lpsm,12900,CIB,not_inst,69.400786,36,no
cf,type1,nob/c,not_neg,not_lpsm,8340,CIB,to_inst,42.097701,22,no
cf,type3,nob/c,not_neg,not_lpsm,6120,EXP,not_inst,96.957672,47,no
cf,type1,nob/c,not_neg,not_lpsm,3780,EXP,not_inst,91.977612,42,no
cf,type1,nob/c,not_neg,not_lpsm,9420,EXP,to_inst,79.362416,36,no
cf,type1,nob/c,not_neg,not_lpsm,6720,EXP,to_inst,59.868421,39,no
cf,type1,nob/c,not_neg,lpsm,16860,EXP,to_inst,51.862583,31,no
cf,type1,nob/c,not_neg,lpsm,4020,EXP,not_inst,60.258359,49,no
cf,type1,nob/c,not_neg,not_lpsm,2400,CIB,to_inst,77.877698,38,no
cf,type1,nob/c,not_neg,not_lpsm,9780,EXP,not_inst,79.471545,34,no
cf,type1,nob/c,not_neg,not_lpsm,11100,EXP,to_inst,70.712209,28,no
cf,type1,nob/c,not_neg,not_lpsm,9000,CIB,to_inst,78.20122,15,no
cf,type1,nob/c,not_neg,not_lpsm,7380,EXP,not_inst,89.715719,31,no
cf,type1,nob/c,not_neg,not_lpsm,6480,CIB,not_inst,72.260274,23,no
cf,type1,nob/c,not_neg,not_lpsm,4380,EXP,to_inst,37.933168,49,no
cf,type1,nob/c,neg_amm,not_lpsm,7920,EXP,to_inst,69.295302,22,no
?,type1,nob/c,not_neg,not_lpsm,9660,CIB,not_inst,74.114173,48,no
cf,type1,nob/c,not_neg,not_lpsm,7080,EXP,not_inst,59.952229,26,no
cf,type1,nob/c,not_neg,lpsm,2580,CIB,to_inst,42.943548,35,no
ncf,type1,nob/c,not_neg,not_lpsm,8760,EXP,to_inst,60.642738,44,no
cf,type1,nob/c,not_neg,not_lpsm,3900,EXP,to_inst,64.756944,31,no
cf,type1,nob/c,not_neg,not_lpsm,7380,EXP,not_inst,57.325142,49,no
cf,type3,nob/c,neg_amm,not_lpsm,1860,EXP,to_inst,71.067416,37,no
cf,type1,nob/c,not_neg,not_lpsm,5460,CIB,not_inst,78.721683,43,no
cf,type1,nob/c,not_neg,not_lpsm,2040,CIB,to_inst,77.173913,42,no
cf,type1,nob/c,not_neg,not_lpsm,2760,CIB,to_inst,47.146119,35,no
ncf,type1,nob/c,not_neg,not_lpsm,7260,CIB,to_inst,95.863309,44,no
cf,type1,nob/c,not_neg,not_lpsm,3480,CIB,to_inst,53.661088,40,no
cf,type1,nob/c,not_neg,not_lpsm,4920,CIB,to_inst,83.675799,36,no
cf,type1,nob/c,not_neg,not_lpsm,9300,EXP,not_inst,58.366142,10,no
cf,type1,nob/c,not_neg,not_lpsm,6540,CIB,to_inst,81.804734,26,no
cf,type3,nob/c,not_neg,not_lpsm,4260,CIB,to_inst,62.126866,37,no
cf,type1,nob/c,not_neg,not_lpsm,6180,EXP,to_inst,96.875,33,no
cf,type2,b/c,not_neg,not_lpsm,4020,EXP,to_inst,99.050633,45,no
ncf,type1,nob/c,not_neg,not_lpsm,64920,EXP,to_inst,49.661247,27,no
ncf,type1,nob/c,not_neg,not_lpsm,68400,CIB,to_inst,74.77221,5,no
cf,type1,nob/c,not_neg,not_lpsm,8220,CIB,not_inst,54.21627,36,no
cf,type2,b/c,not_neg,not_lpsm,7500,EXP,not_inst,97.779923,48,no
cf,type1,nob/c,not_neg,not_lpsm,2520,CIB,to_inst,89.663462,49,no
cf,type1,nob/c,neg_amm,not_lpsm,3540,CIB,to_inst,36.355634,21,no
cf,type1,nob/c,not_neg,not_lpsm,3600,EXP,to_inst,33.490566,7,no
cf,type1,nob/c,not_neg,not_lpsm,9960,CIB,to_inst,93.238994,22,no
cf,type1,nob/c,not_neg,not_lpsm,4320,CIB,to_inst,70.683453,47,no
cf,type1,nob/c,not_neg,not_lpsm,7860,EXP,not_inst,80.02451,23,no
cf,type3,nob/c,not_neg,not_lpsm,9780,EXP,to_inst,99.686192,55,no
cf,type1,nob/c,not_neg,not_lpsm,8160,EXP,to_inst,65.282132,28,no
cf,type1,nob/c,not_neg,not_lpsm,4920,EXP,to_inst,84.090909,36,no
cf,type1,nob/c,not_neg,not_lpsm,7020,CIB,not_inst,74.371069,34,no
cf,type1,nob/c,not_neg,not_lpsm,6300,EXP,to_inst,71.262887,36,no
cf,type1,nob/c,not_neg,not_lpsm,2760,CIB,to_inst,62.126866,49,no
cf,type1,nob/c,not_neg,not_lpsm,3300,EXP,not_inst,40.649606,37,no
cf,type1,nob/c,not_neg,not_lpsm,3300,CIB,not_inst,79.362416,44,no
cf,type3,nob/c,not_neg,not_lpsm,6120,EXP,not_inst,72.058824,37,no
cf,type1,nob/c,not_neg,not_lpsm,6900,CIB,to_inst,57.275132,24,no
cf,type1,nob/c,not_neg,not_lpsm,5280,CIB,to_inst,82.894737,48,no
cf,type2,b/c,not_neg,not_lpsm,3900,EXP,to_inst,96.14094,57,no
cf,type1,nob/c,neg_amm,not_lpsm,8940,EXP,to_inst,88.568773,37,no
cf,type1,nob/c,not_neg,not_lpsm,3180,CIB,to_inst,77.573529,41,no
cf,type1,nob/c,not_neg,not_lpsm,4800,EXP,to_inst,69.701087,40,no
cf,type1,nob/c,not_neg,not_lpsm,6300,CIB,not_inst,94.458763,31,no
cf,type2,b/c,not_neg,not_lpsm,7920,CIB,not_inst,96.493902,38,no
cf,type1,nob/c,not_neg,not_lpsm,2880,CIB,to_inst,50.811688,49,no
cf,type1,nob/c,not_neg,not_lpsm,5880,CIB,to_inst,62.867647,43,no
cf,type1,nob/c,not_neg,not_lpsm,4320,CIB,to_inst,61.284722,21,no
cf,type1,nob/c,not_neg,not_lpsm,2160,CIB,to_inst,60.551948,47,no
cf,type1,nob/c,not_neg,not_lpsm,7140,CIB,to_inst,79.575893,35,no
cf,type3,nob/c,not_neg,not_lpsm,6180,CIB,not_inst,102.248677,52,no
cf,type1,nob/c,not_neg,not_lpsm,8520,EXP,not_inst,55.536131,29,no
cf,type1,nob/c,not_neg,not_lpsm,8220,CIB,not_inst,57.686084,34,no
cf,type1,nob/c,neg_amm,not_lpsm,1620,CIB,to_inst,67.405063,44,no
cf,type1,nob/c,neg_amm,not_lpsm,8700,CIB,to_inst,80.783582,43,no
cf,type3,nob/c,not_neg,not_lpsm,5160,CIB,to_inst,103.294574,40,no
