@relation loan_default_reduced_sampled_training-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1

@attribute loan_limit {cf,ncf}
@attribute loan_type {type1,type2,type3}
@attribute business_or_commercial {nob/c,b/c}
@attribute Neg_ammortization {not_neg,neg_amm}
@attribute lump_sum_payment {not_lpsm,lpsm}
@attribute income numeric
@attribute co-applicant_credit_type {EXP,CIB}
@attribute submission_of_application {to_inst,not_inst}
@attribute LTV numeric
@attribute dtir1 numeric
@attribute Status {no,yes}

@data
cf,type1,nob/c,neg_amm,not_lpsm,4920,CIB,not_inst,88.407821,47,no
cf,type1,nob/c,not_neg,not_lpsm,3300,CIB,to_inst,91.666667,32,no
cf,type1,nob/c,not_neg,not_lpsm,7020,EXP,to_inst,60.371179,22,no
cf,type2,b/c,not_neg,not_lpsm,2100,CIB,to_inst,97.794118,48,no
cf,type2,b/c,not_neg,not_lpsm,2160,CIB,to_inst,98.828125,40,no
cf,type1,nob/c,not_neg,not_lpsm,10200,CIB,not_inst,48.211447,41,no
cf,type1,nob/c,neg_amm,not_lpsm,3180,CIB,to_inst,98.913043,47,no
cf,type1,nob/c,not_neg,not_lpsm,4380,EXP,to_inst,87.298387,41,no
?,type3,nob/c,not_neg,not_lpsm,3120,CIB,to_inst,91.666667,56,no
cf,type1,nob/c,neg_amm,not_lpsm,3660,CIB,not_inst,64.737991,41,no
cf,type1,nob/c,not_neg,not_lpsm,6240,CIB,to_inst,64.937107,34,no
cf,type1,nob/c,not_neg,not_lpsm,6900,CIB,not_inst,94.730392,44,no
cf,type1,nob/c,not_neg,not_lpsm,3840,CIB,to_inst,38.128492,36,no
cf,type1,nob/c,not_neg,not_lpsm,1560,CIB,to_inst,92.721519,47,no
cf,type3,nob/c,not_neg,not_lpsm,10140,EXP,to_inst,96.957672,43,no
cf,type1,nob/c,not_neg,not_lpsm,5880,EXP,to_inst,71.984925,40,no
cf,type2,b/c,not_neg,not_lpsm,2280,EXP,to_inst,83.266129,54,no
cf,type1,nob/c,not_neg,not_lpsm,7740,CIB,not_inst,69.3769,22,no
ncf,type1,nob/c,not_neg,not_lpsm,12900,EXP,not_inst,75.306748,42,no
cf,type3,nob/c,not_neg,not_lpsm,8820,EXP,to_inst,91.881443,24,no
cf,type1,nob/c,not_neg,not_lpsm,9180,EXP,to_inst,78.20122,29,no
ncf,type1,nob/c,not_neg,not_lpsm,21000,EXP,not_inst,64.538369,36,no
cf,type1,nob/c,not_neg,not_lpsm,2460,CIB,to_inst,94.471154,41,no
cf,type1,nob/c,not_neg,not_lpsm,4260,CIB,not_inst,36.747851,40,no
cf,type1,nob/c,not_neg,not_lpsm,4680,EXP,to_inst,57.352941,41,no
cf,type1,nob/c,not_neg,not_lpsm,4260,CIB,to_inst,51.008065,43,no
cf,type1,nob/c,not_neg,not_lpsm,12900,EXP,not_inst,80.027933,38,no
cf,type1,nob/c,not_neg,not_lpsm,3600,CIB,to_inst,66.879562,47,no
cf,type1,nob/c,not_neg,not_lpsm,6120,CIB,to_inst,10.066163,48,no
cf,type1,nob/c,not_neg,not_lpsm,15300,CIB,to_inst,86.302395,8,no
cf,type1,nob/c,not_neg,not_lpsm,7380,EXP,not_inst,78.010033,46,no
cf,type3,nob/c,neg_amm,not_lpsm,3180,CIB,to_inst,88.265306,39,no
cf,type1,nob/c,not_neg,not_lpsm,4320,EXP,to_inst,51.637555,42,no
cf,type1,nob/c,not_neg,not_lpsm,2700,CIB,to_inst,69.345238,30,no
cf,type2,b/c,not_neg,not_lpsm,3600,CIB,to_inst,73.026316,46,no
cf,type2,b/c,not_neg,not_lpsm,4500,EXP,to_inst,97.413793,34,no
cf,type1,nob/c,not_neg,not_lpsm,7080,EXP,not_inst,79.43314,45,no
cf,type1,nob/c,neg_amm,not_lpsm,11640,EXP,to_inst,73.763021,30,no
cf,type1,nob/c,not_neg,not_lpsm,12360,EXP,not_inst,74.144254,25,no
cf,type1,nob/c,not_neg,not_lpsm,5100,CIB,not_inst,58.101852,40,no
cf,type1,nob/c,not_neg,not_lpsm,5760,EXP,to_inst,49.595469,37,no
cf,type1,nob/c,not_neg,not_lpsm,8220,CIB,not_inst,80.011655,39,no
cf,type1,nob/c,not_neg,not_lpsm,17100,EXP,not_inst,74.665552,39,no
cf,type1,nob/c,not_neg,not_lpsm,11040,EXP,not_inst,66.891892,44,no
cf,type1,nob/c,not_neg,not_lpsm,17400,EXP,to_inst,30.184744,22,no
ncf,type1,nob/c,not_neg,not_lpsm,6480,EXP,to_inst,37.212944,36,no
cf,type2,b/c,not_neg,not_lpsm,8940,EXP,not_inst,96.78771,36,no
ncf,type1,nob/c,not_neg,not_lpsm,18840,EXP,not_inst,79.841402,41,no
ncf,type2,b/c,not_neg,not_lpsm,3900,CIB,to_inst,83.266129,47,no
cf,type3,nob/c,not_neg,not_lpsm,2820,CIB,not_inst,99.050633,39,no
cf,type3,nob/c,not_neg,not_lpsm,3060,CIB,to_inst,99.202128,37,no
cf,type1,nob/c,not_neg,not_lpsm,9480,EXP,not_inst,47.745491,22,no
cf,type1,nob/c,not_neg,not_lpsm,2280,EXP,to_inst,36.778846,36,no
cf,type3,nob/c,not_neg,not_lpsm,4200,CIB,to_inst,57.0059,55,no
cf,type1,nob/c,not_neg,not_lpsm,9840,EXP,to_inst,81.25,31,no
cf,type1,nob/c,not_neg,not_lpsm,8940,EXP,to_inst,72.041063,34,no
cf,type3,nob/c,not_neg,not_lpsm,2040,EXP,to_inst,68.640351,36,no
cf,type1,nob/c,not_neg,not_lpsm,20580,EXP,not_inst,73.879717,36,no
cf,type1,nob/c,not_neg,not_lpsm,3900,CIB,to_inst,58.561644,42,no
cf,type1,nob/c,not_neg,not_lpsm,9240,CIB,to_inst,74.371069,38,no
cf,type1,nob/c,not_neg,not_lpsm,6900,CIB,to_inst,51.008065,6,no
cf,type1,nob/c,not_neg,not_lpsm,7200,EXP,to_inst,94.856459,37,no
?,type1,nob/c,not_neg,not_lpsm,3420,CIB,to_inst,90.570175,45,no
cf,type1,nob/c,not_neg,not_lpsm,9960,EXP,not_inst,86.430481,30,no
cf,type1,nob/c,not_neg,not_lpsm,12240,CIB,not_inst,78.721683,30,no
cf,type1,nob/c,not_neg,not_lpsm,6180,EXP,not_inst,55.345395,37,no
cf,type1,nob/c,not_neg,not_lpsm,7200,EXP,not_inst,94.984076,41,no
cf,type2,b/c,not_neg,not_lpsm,8940,EXP,not_inst,96.78771,36,no
cf,type1,nob/c,not_neg,not_lpsm,2400,EXP,to_inst,30.017007,47,no
cf,type1,nob/c,neg_amm,not_lpsm,4440,EXP,to_inst,56.004367,40,no
cf,type3,nob/c,not_neg,not_lpsm,7260,EXP,to_inst,96.006944,40,no
ncf,type2,b/c,not_neg,not_lpsm,3300,CIB,to_inst,82.563025,57,no
cf,type1,nob/c,not_neg,not_lpsm,9060,EXP,not_inst,74.58159,26,no
ncf,type2,b/c,not_neg,not_lpsm,7200,CIB,to_inst,82.58547,49,no
cf,type1,nob/c,not_neg,not_lpsm,6120,CIB,not_inst,93.269231,38,no
cf,type1,nob/c,not_neg,not_lpsm,6960,CIB,not_inst,96.597633,27,no
cf,type1,nob/c,neg_amm,not_lpsm,8700,CIB,to_inst,80.783582,43,no
cf,type3,nob/c,not_neg,not_lpsm,2640,CIB,not_inst,48.94958,31,no
cf,type1,nob/c,not_neg,not_lpsm,7680,CIB,to_inst,74.705015,36,no
cf,type1,nob/c,not_neg,not_lpsm,4980,EXP,not_inst,80.016447,43,no
cf,type2,b/c,neg_amm,not_lpsm,3660,EXP,to_inst,84.42029,55,no
?,type2,b/c,not_neg,not_lpsm,1440,CIB,to_inst,73.305085,50,no
cf,type1,nob/c,not_neg,not_lpsm,3900,EXP,to_inst,39.738806,32,no
cf,type1,nob/c,not_neg,not_lpsm,5100,CIB,not_inst,84.722222,45,no
cf,type1,nob/c,not_neg,not_lpsm,3780,EXP,to_inst,28.190104,48,no
cf,type1,nob/c,not_neg,not_lpsm,5820,EXP,not_inst,77.468153,47,no
cf,type1,nob/c,not_neg,not_lpsm,3120,CIB,to_inst,95.168067,33,no
cf,type1,nob/c,neg_amm,not_lpsm,4020,EXP,to_inst,72.651007,44,no
cf,type1,nob/c,not_neg,not_lpsm,8520,EXP,not_inst,95.062696,40,no
cf,type3,nob/c,not_neg,not_lpsm,6780,CIB,to_inst,99.568966,37,no
cf,type3,nob/c,not_neg,not_lpsm,2400,CIB,to_inst,99.050633,55,no
?,type1,nob/c,not_neg,not_lpsm,5580,CIB,not_inst,84.040179,49,no
cf,type1,nob/c,not_neg,not_lpsm,13800,CIB,to_inst,50.932836,33,no
cf,type1,nob/c,not_neg,not_lpsm,5460,CIB,to_inst,71.788991,7,no
cf,type1,nob/c,not_neg,not_lpsm,7980,EXP,not_inst,89.359862,40,no
cf,type1,nob/c,not_neg,not_lpsm,4260,CIB,to_inst,49.476987,40,no
cf,type1,nob/c,not_neg,not_lpsm,10200,EXP,to_inst,74.280576,47,no
cf,type1,nob/c,not_neg,not_lpsm,6960,CIB,to_inst,77.01005,34,no
cf,type1,nob/c,not_neg,not_lpsm,10200,EXP,to_inst,66.351744,38,no
cf,type1,nob/c,not_neg,not_lpsm,9900,EXP,not_inst,75.485437,21,no
cf,type2,b/c,not_neg,not_lpsm,3600,CIB,to_inst,84.149485,48,no
cf,type1,nob/c,not_neg,not_lpsm,3840,CIB,to_inst,68.503289,48,no
cf,type1,nob/c,not_neg,not_lpsm,3960,EXP,to_inst,14.573733,37,no
cf,type1,nob/c,not_neg,not_lpsm,4500,CIB,not_inst,92.279412,38,no
cf,type1,nob/c,not_neg,not_lpsm,4560,CIB,to_inst,50.811688,31,no
cf,type1,nob/c,not_neg,not_lpsm,7500,CIB,to_inst,56.909548,47,no
cf,type1,nob/c,not_neg,not_lpsm,4560,CIB,not_inst,80.021834,36,no
cf,type1,nob/c,not_neg,not_lpsm,7740,CIB,not_inst,80.405405,24,no
cf,type1,nob/c,not_neg,not_lpsm,8880,CIB,not_inst,51.753507,37,no
cf,type1,nob/c,not_neg,not_lpsm,8220,CIB,not_inst,58.928571,24,no
cf,type2,b/c,not_neg,not_lpsm,2340,CIB,to_inst,84.855769,45,no
cf,type1,nob/c,not_neg,not_lpsm,11700,CIB,to_inst,79.336735,30,no
cf,type2,b/c,neg_amm,not_lpsm,6300,CIB,to_inst,71.61215,53,no
ncf,type1,nob/c,not_neg,not_lpsm,16260,EXP,to_inst,79.586835,22,no
cf,type1,nob/c,not_neg,not_lpsm,8880,EXP,to_inst,52.46063,20,no
cf,type1,nob/c,not_neg,not_lpsm,3900,EXP,not_inst,47.759857,32,no
ncf,type1,nob/c,not_neg,not_lpsm,14940,EXP,to_inst,74.833055,31,no
cf,type1,nob/c,not_neg,not_lpsm,13320,CIB,not_inst,32.142857,42,no
cf,type1,nob/c,not_neg,not_lpsm,9780,CIB,not_inst,43.834081,37,no
cf,type1,nob/c,not_neg,not_lpsm,9780,EXP,to_inst,50.544267,40,no
cf,type1,nob/c,not_neg,not_lpsm,4440,CIB,to_inst,49.567474,49,no
cf,type1,nob/c,neg_amm,not_lpsm,4740,CIB,not_inst,63.064972,48,no
cf,type1,nob/c,not_neg,not_lpsm,14040,EXP,not_inst,74.22049,37,no
cf,type1,nob/c,not_neg,not_lpsm,4080,CIB,not_inst,77.610442,49,no
cf,type1,nob/c,not_neg,not_lpsm,3780,EXP,to_inst,52.906977,30,no
cf,type1,nob/c,not_neg,not_lpsm,2580,CIB,to_inst,93.539326,35,no
cf,type1,nob/c,not_neg,not_lpsm,4500,CIB,to_inst,65.491453,37,no
cf,type1,nob/c,not_neg,not_lpsm,5580,EXP,not_inst,79.682274,45,no
cf,type1,nob/c,not_neg,not_lpsm,4260,CIB,not_inst,69.275701,42,no
cf,type1,nob/c,not_neg,not_lpsm,10200,EXP,to_inst,51.774448,38,no
cf,type1,nob/c,not_neg,not_lpsm,8700,EXP,to_inst,76.685393,47,no
cf,type1,nob/c,not_neg,not_lpsm,7140,CIB,not_inst,84.684066,46,no
cf,type1,nob/c,not_neg,not_lpsm,4860,EXP,to_inst,62.566138,22,no
cf,type1,nob/c,not_neg,not_lpsm,7080,CIB,to_inst,44.181946,46,no
cf,type2,b/c,not_neg,not_lpsm,5820,EXP,to_inst,84.763314,52,no
?,type1,nob/c,not_neg,not_lpsm,2820,EXP,to_inst,39.779874,45,no
cf,type3,nob/c,not_neg,not_lpsm,3480,EXP,to_inst,98.913043,41,no
cf,type1,nob/c,not_neg,not_lpsm,9060,EXP,to_inst,30.567227,26,no
cf,type1,nob/c,not_neg,not_lpsm,3480,EXP,to_inst,54.058442,43,no
cf,type1,nob/c,not_neg,not_lpsm,6120,CIB,to_inst,79.109589,29,no
cf,type1,nob/c,not_neg,not_lpsm,4740,EXP,to_inst,93.882979,49,no
cf,type3,nob/c,not_neg,not_lpsm,7080,CIB,to_inst,103.057554,26,no
cf,type1,nob/c,not_neg,not_lpsm,14460,EXP,to_inst,82.738095,31,no
cf,type2,b/c,not_neg,not_lpsm,3240,CIB,to_inst,76.006711,36,no
cf,type1,nob/c,not_neg,not_lpsm,4500,CIB,not_inst,95.168067,47,no
cf,type1,nob/c,not_neg,not_lpsm,4380,EXP,to_inst,47.713415,21,no
cf,type1,nob/c,not_neg,not_lpsm,2280,EXP,to_inst,61.968085,36,no
cf,type2,b/c,not_neg,not_lpsm,1920,EXP,to_inst,85.550459,51,no
cf,type1,nob/c,not_neg,not_lpsm,6540,EXP,not_inst,74.371069,23,no
cf,type1,nob/c,not_neg,not_lpsm,9000,EXP,to_inst,66.304348,45,no
cf,type1,nob/c,not_neg,not_lpsm,7440,CIB,not_inst,79.70679,43,no
cf,type1,nob/c,not_neg,not_lpsm,3720,CIB,to_inst,73.840206,48,no
cf,type1,nob/c,not_neg,not_lpsm,12360,EXP,to_inst,79.109589,37,no
ncf,type1,nob/c,not_neg,not_lpsm,7200,CIB,to_inst,58.355615,36,no
cf,type1,nob/c,not_neg,not_lpsm,6600,CIB,to_inst,67.694064,48,no
cf,type1,nob/c,not_neg,not_lpsm,8100,EXP,to_inst,90.770609,39,no
ncf,type1,nob/c,not_neg,not_lpsm,7500,EXP,to_inst,85.958904,41,no
cf,type1,nob/c,not_neg,not_lpsm,8100,EXP,to_inst,94.724771,44,no
cf,type3,nob/c,not_neg,not_lpsm,7200,EXP,to_inst,99.542683,47,no
cf,type1,nob/c,not_neg,not_lpsm,4200,CIB,to_inst,93.882979,20,no
cf,type1,nob/c,not_neg,not_lpsm,5400,EXP,to_inst,78.371711,45,no
cf,type1,nob/c,not_neg,not_lpsm,5460,CIB,to_inst,60.304659,32,no
cf,type1,nob/c,not_neg,not_lpsm,10440,CIB,to_inst,80.709343,29,no
cf,type1,nob/c,not_neg,not_lpsm,6120,EXP,not_inst,73.840206,25,no
cf,type1,nob/c,not_neg,not_lpsm,1620,CIB,to_inst,80.063291,47,no
cf,type2,b/c,not_neg,not_lpsm,4080,EXP,to_inst,99.050633,49,no
cf,type1,nob/c,not_neg,not_lpsm,9420,CIB,not_inst,68.714689,24,no
cf,type1,nob/c,not_neg,not_lpsm,5820,EXP,not_inst,95.091324,46,no
cf,type3,nob/c,not_neg,not_lpsm,5940,EXP,not_inst,101.855895,53,no
cf,type1,nob/c,not_neg,not_lpsm,8820,EXP,not_inst,69.981413,30,no
cf,type1,nob/c,neg_amm,not_lpsm,4500,CIB,to_inst,93.445122,38,no
cf,type1,nob/c,not_neg,not_lpsm,2220,EXP,to_inst,51.712329,48,no
cf,type1,nob/c,not_neg,not_lpsm,5880,EXP,to_inst,63.297872,36,no
cf,type1,nob/c,neg_amm,not_lpsm,13140,EXP,not_inst,75.406504,28,no
cf,type1,nob/c,not_neg,not_lpsm,6660,CIB,not_inst,89.225941,39,no
cf,type3,nob/c,neg_amm,not_lpsm,5220,EXP,to_inst,83.266129,32,no
cf,type1,nob/c,not_neg,not_lpsm,3000,CIB,to_inst,93.154762,48,no
cf,type1,nob/c,not_neg,not_lpsm,8160,EXP,not_inst,94.251825,31,no
cf,type1,nob/c,not_neg,not_lpsm,4680,EXP,not_inst,56.487889,32,no
cf,type1,nob/c,not_neg,not_lpsm,2400,CIB,not_inst,99.107143,42,no
cf,type1,nob/c,not_neg,not_lpsm,3480,CIB,to_inst,69.977169,46,no
cf,type3,nob/c,not_neg,not_lpsm,2580,CIB,to_inst,91.015625,31,no
cf,type1,nob/c,not_neg,not_lpsm,8100,EXP,to_inst,94.724771,44,no
cf,type3,nob/c,not_neg,not_lpsm,9540,EXP,to_inst,99.479167,37,no
cf,type3,nob/c,not_neg,not_lpsm,2580,EXP,not_inst,74.371069,59,no
cf,type1,nob/c,not_neg,not_lpsm,2940,CIB,not_inst,81.798246,32,no
cf,type1,nob/c,not_neg,not_lpsm,9360,EXP,to_inst,43.473896,49,no
cf,type1,nob/c,not_neg,not_lpsm,4080,EXP,to_inst,56.805158,45,no
ncf,type1,nob/c,not_neg,not_lpsm,16200,EXP,not_inst,80.292479,37,no
cf,type1,nob/c,neg_amm,not_lpsm,19920,EXP,not_inst,31.332965,22,no
ncf,type2,b/c,not_neg,not_lpsm,9240,CIB,to_inst,84.67366,60,no
cf,type1,nob/c,not_neg,not_lpsm,13560,CIB,to_inst,37.713675,31,no
cf,type1,nob/c,not_neg,not_lpsm,12000,CIB,not_inst,66.498447,44,no
cf,type1,nob/c,not_neg,not_lpsm,7980,EXP,to_inst,84.574468,46,no
ncf,type3,nob/c,not_neg,not_lpsm,6900,EXP,not_inst,93.205805,52,no
cf,type1,nob/c,not_neg,not_lpsm,5760,EXP,to_inst,44.768722,42,no
cf,type1,nob/c,not_neg,not_lpsm,5700,EXP,to_inst,72.606383,13,no
cf,type1,nob/c,not_neg,not_lpsm,6360,CIB,not_inst,91.977612,27,no
cf,type1,nob/c,not_neg,not_lpsm,5940,EXP,not_inst,94.034091,49,no
cf,type1,nob/c,neg_amm,not_lpsm,3420,CIB,to_inst,64.534884,41,no
cf,type1,nob/c,not_neg,not_lpsm,9480,CIB,not_inst,64.405204,41,no
cf,type1,nob/c,neg_amm,not_lpsm,5400,EXP,to_inst,72.651007,37,no
?,type1,nob/c,not_neg,not_lpsm,8940,CIB,not_inst,78.899721,48,no
cf,type1,nob/c,not_neg,not_lpsm,4020,EXP,to_inst,84.855769,36,no
cf,type1,nob/c,not_neg,not_lpsm,8820,EXP,to_inst,93.019481,27,no
cf,type1,nob/c,not_neg,not_lpsm,4020,EXP,not_inst,59.96144,49,no
cf,type1,nob/c,not_neg,not_lpsm,9120,EXP,not_inst,52.281022,49,no
cf,type1,nob/c,not_neg,not_lpsm,3540,CIB,to_inst,43.259804,44,no
cf,type1,nob/c,not_neg,not_lpsm,3480,EXP,to_inst,83.914729,38,no
ncf,type3,nob/c,not_neg,not_lpsm,13020,EXP,to_inst,85.326087,46,no
cf,type2,b/c,not_neg,not_lpsm,3120,EXP,to_inst,86.525974,49,no
?,type1,nob/c,not_neg,not_lpsm,13620,EXP,not_inst,75.056306,41,no
cf,type3,nob/c,not_neg,not_lpsm,15300,EXP,not_inst,84.149485,11,no
cf,type3,nob/c,not_neg,not_lpsm,2460,CIB,to_inst,67.578125,20,no
cf,type1,nob/c,neg_amm,not_lpsm,13260,CIB,not_inst,61.827458,44,no
cf,type1,nob/c,neg_amm,not_lpsm,7920,EXP,to_inst,69.295302,22,no
cf,type1,nob/c,not_neg,not_lpsm,12180,EXP,to_inst,42.604962,21,no
cf,type2,b/c,not_neg,not_lpsm,4080,EXP,not_inst,96.493902,47,no
cf,type1,nob/c,not_neg,not_lpsm,3360,CIB,to_inst,59.868421,36,no
cf,type1,nob/c,neg_amm,not_lpsm,5700,CIB,to_inst,56.009615,21,no
cf,type1,nob/c,not_neg,not_lpsm,5820,CIB,not_inst,79.336735,44,no
cf,type1,nob/c,not_neg,not_lpsm,1500,CIB,to_inst,51.008065,43,no
cf,type1,nob/c,not_neg,not_lpsm,1200,CIB,to_inst,44.140625,37,no
cf,type1,nob/c,not_neg,not_lpsm,6960,EXP,not_inst,87.679426,25,no
cf,type1,nob/c,not_neg,not_lpsm,9000,EXP,to_inst,80.405405,38,no
cf,type1,nob/c,not_neg,not_lpsm,5220,CIB,to_inst,68.854749,38,no
cf,type3,nob/c,not_neg,not_lpsm,1980,EXP,to_inst,45.535714,38,no
cf,type1,nob/c,not_neg,not_lpsm,8760,EXP,to_inst,69.984326,43,no
cf,type1,nob/c,not_neg,not_lpsm,3480,CIB,to_inst,41.402116,46,no
cf,type1,nob/c,not_neg,not_lpsm,14700,CIB,not_inst,89.446721,8,no
cf,type1,nob/c,not_neg,not_lpsm,10440,EXP,not_inst,37.19419,24,no
cf,type1,nob/c,not_neg,not_lpsm,6600,EXP,not_inst,80.016447,46,no
cf,type1,nob/c,not_neg,not_lpsm,12180,EXP,to_inst,81.572165,35,no
cf,type1,nob/c,not_neg,not_lpsm,7380,CIB,to_inst,82.20524,30,no
cf,type1,nob/c,not_neg,not_lpsm,8880,CIB,to_inst,65.054745,26,no
cf,type1,nob/c,not_neg,not_lpsm,12180,EXP,to_inst,19.860406,14,no
cf,type1,nob/c,not_neg,not_lpsm,5040,CIB,to_inst,76.006711,20,no
cf,type1,nob/c,not_neg,not_lpsm,4080,CIB,not_inst,94.157609,41,no
cf,type1,nob/c,not_neg,not_lpsm,12060,CIB,not_inst,79.328018,39,no
cf,type1,nob/c,not_neg,not_lpsm,4920,EXP,to_inst,56.278539,40,no
cf,type3,nob/c,neg_amm,not_lpsm,2340,CIB,to_inst,81.25,41,no
cf,type2,b/c,not_neg,not_lpsm,3600,CIB,to_inst,98.986486,30,no
cf,type1,nob/c,not_neg,not_lpsm,7800,EXP,not_inst,74.398396,43,no
cf,type2,b/c,not_neg,not_lpsm,8100,CIB,not_inst,86.952555,38,no
cf,type1,nob/c,not_neg,not_lpsm,9420,EXP,to_inst,59.228188,13,no
cf,type1,nob/c,not_neg,not_lpsm,2940,CIB,to_inst,69.589552,49,no
cf,type1,nob/c,not_neg,not_lpsm,6360,CIB,not_inst,75.082237,36,no
cf,type1,nob/c,not_neg,not_lpsm,6660,EXP,to_inst,67.011834,30,no
cf,type1,nob/c,not_neg,not_lpsm,6060,CIB,not_inst,78.817365,40,no
cf,type1,nob/c,not_neg,not_lpsm,6240,EXP,not_inst,85.651408,37,no
cf,type1,nob/c,not_neg,not_lpsm,7800,CIB,to_inst,80.405405,41,no
cf,type1,nob/c,not_neg,not_lpsm,5340,CIB,not_inst,23.314607,12,no
cf,type2,b/c,not_neg,not_lpsm,3660,EXP,to_inst,80.963303,40,no
cf,type1,nob/c,not_neg,not_lpsm,37200,EXP,to_inst,60.416667,13,no
?,type2,b/c,not_neg,not_lpsm,7020,EXP,to_inst,77.412281,42,no
cf,type2,b/c,not_neg,not_lpsm,7980,CIB,not_inst,89.359862,47,no
cf,type1,nob/c,not_neg,not_lpsm,8460,CIB,to_inst,62.706044,48,no
